False,False,False,False,True,True,False,False,False,False,False,19.3263575,-99.2241023,2024-09-22 22:42
False,False,True,True,False,False,False,False,False,False,True,19.3263575,-99.2241023,2024-09-22 22:55
False,False,True,True,False,False,False,False,False,False,True,16.4369744,-95.0223418,2024-09-22 22:58
False,False,True,True,False,False,False,False,False,False,True,16.4369744,-95.0223418,2024-09-22 22:58
True,True,False,False,False,False,False,True,False,False,False,19.3263575,-99.2241023,2024-09-22 23:17
False,False,False,True,True,True,False,False,False,True,False,19.3263575,-99.2241023,2024-09-22 23:19
True,True,True,True,True,True,False,True,True,True,False,19.3263575,-99.2241023,2024-09-23 23:45
False,False,False,False,False,False,False,False,False,False,False,19.3263575,-99.2241023,2024-09-24 00:03
True,True,False,False,False,False,False,False,False,False,True,19.2487799,-99.1744875,2024-09-24 00:11
True,True,False,False,False,False,False,False,False,False,True,-34.0,-64.0,2024-09-24 00:12
True,True,False,False,False,False,False,False,False,False,True,-34.0,-64.0,2024-09-24 00:12
False,False,False,False,True,True,False,False,False,False,True,19.2487799,-99.1744875,2024-09-24 12:30
False,False,False,False,True,True,False,False,False,False,True,-34.1553694,-63.3979779,2024-09-24 12:31
False,False,False,False,True,True,False,False,False,False,True,19.3263575,-99.2241023,2024-09-24 12:32
